"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2024","3.8249","3.8460","3.8475","3.8235","","-0.51%"
"01/23/2024","3.8444","3.8503","3.8522","3.8443","","-0.09%"
"01/22/2024","3.8479","3.8549","3.8557","3.8440","","-0.09%"
"01/19/2024","3.8515","3.8570","3.8602","3.8512","","-0.05%"
"01/18/2024","3.8533","3.8571","3.8653","3.8514","","-0.07%"
"01/17/2024","3.8561","3.8698","3.8721","3.8561","","-0.31%"
"01/16/2024","3.8679","3.8892","3.8893","3.8668","","-0.50%"
"01/15/2024","3.8872","3.8891","3.8918","3.8846","","0.04%"
"01/12/2024","3.8857","3.8835","3.8917","3.8753","","0.09%"
"01/11/2024","3.8821","3.8898","3.8911","3.8811","","-0.13%"
"01/10/2024","3.8870","3.8802","3.8920","3.8756","","0.21%"
"01/09/2024","3.8788","3.8823","3.8840","3.8774","","-0.02%"
"01/08/2024","3.8797","3.8809","3.8842","3.8746","","0.04%"
"01/05/2024","3.8780","3.8770","3.8837","3.8716","","0.11%"
"01/04/2024","3.8737","3.8749","3.8777","3.8661","","0.05%"
"01/03/2024","3.8716","3.8635","3.8770","3.8560","","0.29%"
"01/02/2024","3.8605","3.8832","3.8832","3.8427","","-0.43%"
"01/01/2024","3.8770","3.8911","3.8968","3.8760","","-0.33%"
"12/29/2023","3.8897","3.8937","3.8983","3.8905","","-0.08%"
"12/28/2023","3.8928","3.8911","3.8979","3.8823","","0.13%"
"12/27/2023","3.8879","3.9128","3.9128","3.8822","","-0.60%"
"12/26/2023","3.9114","3.9125","3.9155","3.9102","","0.01%"
"12/25/2023","3.9111","3.9121","3.9153","3.9121","","0.05%"
"12/22/2023","3.9091","3.9200","3.9214","3.9097","","-0.25%"
"12/21/2023","3.9189","3.9295","3.9299","3.9156","","-0.22%"
"12/20/2023","3.9276","3.9345","3.9358","3.9262","","-0.09%"
"12/19/2023","3.9313","3.9311","3.9372","3.9255","","0.05%"
"12/18/2023","3.9295","3.9380","3.9446","3.9300","","-0.18%"
"12/15/2023","3.9365","3.9204","3.9432","3.9181","","0.48%"
"12/14/2023","3.9176","3.9232","3.9241","3.9136","","0.02%"
"12/13/2023","3.9167","3.9194","3.9235","3.9148","","-0.02%"
"12/12/2023","3.9176","3.9223","3.9253","3.9177","","-0.05%"
"12/11/2023","3.9197","3.9204","3.9259","3.9180","","0.09%"
"12/08/2023","3.9162","3.9188","3.9288","3.9165","","-0.02%"
"12/07/2023","3.9171","3.9220","3.9238","3.9120","","-0.10%"
"12/06/2023","3.9212","3.9352","3.9374","3.9193","","-0.32%"
"12/05/2023","3.9338","3.9314","3.9432","3.9265","","0.11%"
"12/04/2023","3.9294","3.9415","3.9416","3.9299","","-0.17%"
"12/01/2023","3.9360","3.9350","3.9404","3.9283","","0.17%"
"11/30/2023","3.9294","3.9408","3.9439","3.9208","","-0.21%"
"11/29/2023","3.9376","3.9530","3.9558","3.9386","","-0.24%"
"11/28/2023","3.9472","3.9469","3.9557","3.9439","","0.06%"
"11/27/2023","3.9447","3.9413","3.9485","3.9355","","0.18%"
"11/24/2023","3.9376","3.9412","3.9466","3.9370","","0.00%"
"11/23/2023","3.9376","3.9447","3.9472","3.9385","","-0.03%"
"11/22/2023","3.9386","3.9423","3.9479","3.9378","","0.01%"
"11/21/2023","3.9382","3.9365","3.9465","3.9343","","0.12%"
"11/20/2023","3.9333","3.9362","3.9409","3.9316","","-0.01%"
"11/17/2023","3.9337","3.9441","3.9441","3.9288","","-0.18%"
"11/16/2023","3.9408","3.9508","3.9523","3.9353","","-0.19%"
"11/15/2023","3.9484","3.9497","3.9588","3.9444","","0.02%"
"11/14/2023","3.9478","3.9269","3.9533","3.9211","","0.64%"
"11/13/2023","3.9225","3.9267","3.9286","3.9190","","0.02%"
"11/10/2023","3.9217","3.9285","3.9402","3.9132","","-0.07%"
"11/09/2023","3.9244","3.9468","3.9577","3.9267","","-0.50%"
"11/08/2023","3.9442","3.9377","3.9488","3.9319","","0.25%"
"11/07/2023","3.9344","3.9263","3.9388","3.9213","","0.29%"
"11/06/2023","3.9230","3.9557","3.9684","3.9197","","-0.69%"
"11/03/2023","3.9502","3.9521","3.9617","3.9461","","0.08%"
"11/02/2023","3.9471","3.9374","3.9555","3.9367","","0.38%"
"11/01/2023","3.9320","3.9356","3.9389","3.9321","","0.02%"
"10/31/2023","3.9311","3.9304","3.9409","3.9293","","0.09%"
"10/30/2023","3.9275","3.9313","3.9355","3.9272","","-0.07%"
"10/27/2023","3.9301","3.9239","3.9356","3.9216","","0.21%"
"10/26/2023","3.9217","3.9260","3.9330","3.9206","","-0.05%"
"10/25/2023","3.9236","3.9447","3.9458","3.9211","","-0.39%"
"10/24/2023","3.9388","3.9281","3.9478","3.9225","","0.46%"
"10/23/2023","3.9206","3.9171","3.9274","3.9128","","0.18%"
"10/20/2023","3.9137","3.9056","3.9213","3.9025","","0.24%"
"10/19/2023","3.9044","3.8972","3.9088","3.8935","","0.24%"
"10/18/2023","3.8951","3.8946","3.9023","3.8919","","0.10%"
"10/17/2023","3.8914","3.8930","3.9002","3.8879","","-0.04%"
"10/16/2023","3.8930","3.8867","3.8944","3.8826","","0.33%"
"10/13/2023","3.8801","3.8874","3.8944","3.8840","","-0.01%"
"10/12/2023","3.8806","3.8924","3.8967","3.8846","","-0.26%"
"10/11/2023","3.8908","3.8898","3.8972","3.8832","","0.09%"
"10/10/2023","3.8874","3.8876","3.8920","3.8803","","0.11%"
"10/09/2023","3.8832","3.8949","3.8960","3.8820","","-0.29%"
"10/06/2023","3.8944","3.8939","3.8979","3.8842","","0.04%"
"10/05/2023","3.8927","3.8891","3.8956","3.8834","","0.27%"
"10/04/2023","3.8824","3.8925","3.8958","3.8828","","-0.11%"
"10/03/2023","3.8868","3.8948","3.9000","3.8870","","-0.22%"
"10/02/2023","3.8954","3.8959","3.9030","3.8883","","-0.08%"
"09/29/2023","3.8987","3.8939","3.9030","3.8939","","0.17%"
"09/28/2023","3.8922","3.8925","3.8984","3.8908","","0.07%"
"09/27/2023","3.8895","3.8867","3.8965","3.8748","","0.13%"
"09/26/2023","3.8845","3.9039","3.9050","3.8864","","-0.32%"
"09/25/2023","3.8970","3.9069","3.9136","3.8982","","-0.19%"
"09/22/2023","3.9046","3.9095","3.9212","3.9037","","0.36%"
"09/21/2023","3.8905","3.9005","3.9170","3.8870","","-0.42%"
"09/20/2023","3.9069","3.8974","3.9133","3.8937","","0.47%"
"09/19/2023","3.8886","3.8994","3.9062","3.8876","","-0.07%"
"09/18/2023","3.8914","3.8881","3.8985","3.8788","","0.20%"
"09/15/2023","3.8837","3.9007","3.9049","3.8818","","-0.14%"
"09/14/2023","3.8892","3.8956","3.9092","3.8874","","0.19%"
"09/13/2023","3.8819","3.8915","3.9056","3.8783","","-0.17%"
"09/12/2023","3.8886","3.8809","3.8949","3.8760","","0.45%"
"09/11/2023","3.8712","3.8756","3.8874","3.8720","","0.17%"
"09/08/2023","3.8647","3.8793","3.8860","3.8621","","-0.19%"
"09/07/2023","3.8721","3.8633","3.8812","3.8628","","0.42%"
"09/06/2023","3.8558","3.8700","3.8839","3.8536","","-0.24%"
"09/05/2023","3.8651","3.8760","3.8900","3.8375","","-0.07%"
"09/04/2023","3.8678","3.8587","3.8796","3.8486","","0.44%"
"09/01/2023","3.8510","3.8598","3.8684","3.8447","","0.01%"
"08/31/2023","3.8505","3.8825","3.8861","3.8516","","-0.73%"
"08/30/2023","3.8790","3.8865","3.8877","3.8760","","0.00%"
"08/29/2023","3.8789","3.9204","3.9251","3.8731","","-0.97%"
"08/28/2023","3.9169","3.9172","3.9291","3.9136","","0.28%"
"08/25/2023","3.9061","3.9162","3.9272","3.9098","","-0.11%"
"08/24/2023","3.9104","3.9174","3.9370","3.9144","","-0.08%"
"08/23/2023","3.9134","3.8997","3.9241","3.8993","","0.47%"
"08/22/2023","3.8952","3.8953","3.9125","3.8761","","0.21%"
"08/21/2023","3.8869","3.8886","3.9034","3.8830","","0.12%"
"08/18/2023","3.8824","3.8755","3.9024","3.8745","","0.41%"
"08/17/2023","3.8665","3.8631","3.8835","3.8548","","0.26%"
"08/16/2023","3.8565","3.8503","3.8702","3.8372","","0.35%"
"08/15/2023","3.8431","3.8619","3.8694","3.8374","","-0.40%"
"08/14/2023","3.8586","3.8573","3.8781","3.8462","","0.31%"
"08/11/2023","3.8468","3.8653","3.8712","3.8541","","-0.31%"
"08/10/2023","3.8587","3.8628","3.8792","3.8503","","0.12%"
"08/09/2023","3.8541","3.8612","3.8795","3.8333","","0.01%"
"08/08/2023","3.8537","3.8968","3.8974","3.8509","","-0.90%"
"08/07/2023","3.8887","3.8735","3.9081","3.8605","","0.53%"
"08/04/2023","3.8683","3.8434","3.9017","3.8286","","1.31%"
"08/03/2023","3.8183","3.8020","3.8736","3.7940","","0.94%"
"08/02/2023","3.7829","3.8615","3.8676","3.7847","","-1.73%"
"08/01/2023","3.8494","3.8668","3.8676","3.8612","","-0.12%"
"07/31/2023","3.8541","4.0012","4.0134","3.8639","","-3.32%"
"07/28/2023","3.9863","4.0046","4.0163","3.9896","","-0.15%"
"07/27/2023","3.9922","4.0152","4.0259","3.9997","","-0.24%"
"07/26/2023","4.0020","4.0416","4.0560","4.0066","","-0.73%"
"07/25/2023","4.0313","4.0335","4.0587","4.0160","","0.23%"
"07/24/2023","4.0220","3.9922","4.0395","3.9915","","1.01%"
"07/21/2023","3.9817","3.9594","4.0002","3.9590","","0.88%"
"07/20/2023","3.9469","3.9481","3.9854","3.9393","","0.27%"
"07/19/2023","3.9361","3.9318","3.9529","3.9214","","0.32%"
"07/18/2023","3.9235","3.9299","3.9451","3.9109","","0.30%"
"07/17/2023","3.9118","3.8842","3.9442","3.8826","","1.00%"
"07/14/2023","3.8731","3.8730","3.9067","3.8691","","0.26%"
"07/13/2023","3.8630","3.8414","3.8839","3.8122","","0.87%"
"07/12/2023","3.8297","3.8105","3.8456","3.7900","","0.82%"
"07/11/2023","3.7985","3.7734","3.8237","3.7729","","1.13%"
"07/10/2023","3.7562","3.7561","3.7927","3.7494","","0.43%"
"07/07/2023","3.7400","3.7455","3.7766","3.7402","","0.18%"
"07/06/2023","3.7331","3.7258","3.7671","3.7193","","0.54%"
"07/05/2023","3.7131","3.7418","3.7488","3.7196","","-0.50%"
"07/04/2023","3.7317","3.7542","3.7592","3.7239","","-0.55%"
"07/03/2023","3.7523","3.7503","3.7644","3.7497","","0.18%"
"06/30/2023","3.7454","3.7490","3.7531","3.7469","","0.01%"
"06/29/2023","3.7450","3.7513","3.7531","3.7469","","-0.09%"
"06/28/2023","3.7482","3.7627","3.7720","3.7380","","-0.17%"
"06/27/2023","3.7544","3.7548","3.7828","3.7534","","0.09%"
"06/26/2023","3.7509","3.7543","3.7778","3.7292","","0.01%"
