"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2023","413.819","413.043","414.207","411.374","","0.22%"
"12/20/2023","412.914","416.304","416.500","412.552","","-0.73%"
"12/19/2023","415.953","413.333","417.350","413.138","","0.70%"
"12/18/2023","413.077","414.491","415.659","412.762","","-0.29%"
"12/15/2023","414.282","416.888","418.427","414.132","","-0.58%"
"12/14/2023","416.682","412.276","417.918","411.595","","1.14%"
"12/13/2023","411.978","410.653","412.882","408.405","","0.38%"
"12/12/2023","410.431","410.565","412.385","409.019","","0.06%"
"12/11/2023","410.169","410.173","411.759","409.647","","0.06%"
"12/08/2023","409.941","411.155","411.833","408.799","","-0.29%"
"12/07/2023","411.129","410.523","412.020","409.139","","0.17%"
"12/06/2023","410.428","413.056","413.912","410.197","","-0.57%"
"12/05/2023","412.766","414.362","415.507","412.367","","-0.30%"
"12/04/2023","414.009","417.019","417.429","413.379","","-0.60%"
"12/01/2023","416.505","414.067","417.151","413.703","","0.68%"
"11/30/2023","413.686","417.096","417.425","413.345","","-0.72%"
"11/29/2023","416.681","418.082","419.300","415.996","","-0.22%"
"11/28/2023","417.600","415.461","418.674","414.876","","0.62%"
"11/27/2023","415.047","413.636","416.053","413.456","","0.34%"
"11/24/2023","413.630","411.676","414.342","411.319","","0.54%"
"11/23/2023","411.396","410.329","412.925","410.215","","0.33%"
"11/22/2023","410.050","411.860","412.315","408.917","","-0.37%"
"11/21/2023","411.590","410.229","412.566","409.967","","0.43%"
"11/20/2023","409.819","408.246","410.629","407.901","","0.42%"
"11/17/2023","408.098","407.212","408.590","405.380","","0.37%"
"11/16/2023","406.607","408.183","408.590","405.454","","-0.30%"
"11/15/2023","407.833","409.671","410.476","407.625","","-0.38%"
"11/14/2023","409.402","401.200","409.917","400.453","","2.13%"
"11/13/2023","400.844","399.714","401.315","399.272","","0.37%"
"11/10/2023","399.354","400.030","401.199","398.634","","-0.07%"
"11/09/2023","399.627","403.578","404.988","399.638","","-0.88%"
"11/08/2023","403.157","403.116","404.154","401.128","","0.09%"
"11/07/2023","402.792","403.340","404.124","401.854","","-0.06%"
"11/06/2023","403.032","406.681","408.639","403.112","","-0.87%"
"11/03/2023","406.552","401.347","407.354","400.820","","1.36%"
"11/02/2023","401.108","398.250","402.252","397.790","","0.81%"
"11/01/2023","397.880","398.364","398.741","396.414","","-0.02%"
"10/31/2023","397.978","398.280","400.040","397.184","","0.02%"
"10/30/2023","397.894","396.727","398.460","395.629","","0.29%"
"10/27/2023","396.753","396.283","398.233","395.718","","0.21%"
"10/26/2023","395.914","395.424","396.690","394.082","","0.20%"
"10/25/2023","395.121","398.436","399.024","395.187","","-0.62%"
"10/24/2023","397.599","399.469","402.521","397.995","","-0.39%"
"10/23/2023","399.162","396.112","399.844","395.233","","0.85%"
"10/20/2023","395.808","394.376","396.503","392.855","","0.47%"
"10/19/2023","393.975","394.066","395.952","392.499","","0.01%"
"10/18/2023","393.943","395.034","396.471","393.921","","-0.16%"
"10/17/2023","394.567","395.737","396.043","393.413","","-0.30%"
"10/16/2023","395.741","392.816","395.883","392.616","","0.84%"
"10/13/2023","392.458","394.272","396.042","392.282","","-0.26%"
"10/12/2023","393.492","398.633","399.197","393.900","","-1.23%"
"10/11/2023","398.384","397.714","399.475","396.846","","0.24%"
"10/10/2023","397.420","396.160","397.924","394.704","","0.41%"
"10/09/2023","395.802","396.138","396.371","393.396","","-0.10%"
"10/06/2023","396.205","395.082","397.305","392.218","","0.33%"
"10/05/2023","394.895","392.767","395.244","391.882","","0.73%"
"10/04/2023","392.038","391.198","394.111","389.645","","0.36%"
"10/03/2023","390.626","391.992","392.354","390.139","","-0.28%"
"10/02/2023","391.707","395.313","396.282","391.798","","-0.80%"
"09/29/2023","394.878","395.280","397.646","394.616","","0.00%"
"09/28/2023","394.878","393.174","396.122","392.672","","0.52%"
"09/27/2023","392.838","393.616","394.072","391.483","","-0.12%"
"09/26/2023","393.311","396.182","396.442","393.405","","-0.59%"
"09/25/2023","395.636","397.383","398.122","395.680","","-0.22%"
"09/22/2023","396.511","398.552","399.109","396.440","","-0.30%"
"09/21/2023","397.711","400.725","400.953","396.641","","-0.56%"
"09/20/2023","399.946","402.121","403.110","400.158","","-0.37%"
"09/19/2023","401.436","402.000","403.208","400.576","","-0.01%"
"09/18/2023","401.486","400.190","402.730","399.835","","0.46%"
"09/15/2023","399.629","402.084","403.033","399.980","","-0.29%"
"09/14/2023","400.811","403.298","405.491","401.615","","-0.32%"
"09/13/2023","402.114","402.835","404.526","400.745","","-0.06%"
"09/12/2023","402.361","402.493","403.844","401.137","","0.22%"
"09/11/2023","401.475","401.313","404.388","400.943","","0.35%"
"09/08/2023","400.094","402.319","403.206","400.284","","-0.37%"
"09/07/2023","401.566","402.100","403.400","400.906","","0.01%"
"09/06/2023","401.507","403.948","405.995","401.297","","-0.44%"
"09/05/2023","403.272","404.819","406.844","400.737","","-0.15%"
"09/04/2023","403.872","401.557","405.492","401.414","","0.73%"
"09/01/2023","400.928","404.301","405.560","401.190","","-0.67%"
"08/31/2023","403.635","408.328","408.810","403.583","","-0.98%"
"08/30/2023","407.612","405.744","409.178","405.054","","0.60%"
"08/29/2023","405.176","408.370","409.479","403.241","","-0.70%"
"08/28/2023","408.022","406.883","408.837","406.574","","0.44%"
"08/25/2023","406.237","407.642","409.373","405.912","","-0.17%"
"08/24/2023","406.948","411.864","412.959","407.303","","-1.00%"
"08/23/2023","411.050","412.549","414.063","408.070","","-0.19%"
"08/22/2023","411.816","413.008","414.954","410.894","","-0.03%"
"08/21/2023","411.954","411.913","413.348","410.861","","0.15%"
"08/18/2023","411.341","410.389","413.403","409.918","","0.39%"
"08/17/2023","409.752","409.334","411.790","407.612","","0.27%"
"08/16/2023","408.633","407.259","410.635","405.654","","0.53%"
"08/15/2023","406.496","407.490","409.123","406.397","","-0.14%"
"08/14/2023","407.060","405.699","409.040","404.775","","0.52%"
"08/11/2023","404.939","405.696","407.470","404.935","","0.15%"
"08/10/2023","404.333","406.976","410.224","405.408","","-0.49%"
"08/09/2023","406.340","407.936","410.060","404.686","","-0.22%"
"08/08/2023","407.235","412.316","412.413","405.700","","-1.07%"
"08/07/2023","411.645","408.734","412.494","406.388","","0.91%"
"08/04/2023","407.936","404.306","411.632","403.223","","1.54%"
